,sentence,label
0,What time is your call centre operational during COVID?,call_center
1,is the call center still functioning during lockdown,call_center
2,what are the working hours of your call center during covid lockdown,call_center
3,does covid affext your call center time,call_center
4,is your call center working during covid?,call_center
5,when can i call the call center during coronvirus lockdown,call_center
6,what is the time when call center is working,call_center
7,Contact Call Center,call_center
8,what time are you guys open,call_center
9,I want to call your call centre,call_center
10,Toll Free Number,call_center
11,Customer care number,call_center
12,pls give me customer care no,call_center
13,want to contact your customer care number send me,call_center
14,Consumer care number,call_center
15,where do I call you,call_center
16,i want to get in touch,call_center
17,I want your number,call_center
18,i want your contact number where I can call you,call_center
19,your contact number,call_center
20,How do I Reach you guys,call_center
21,I'd like to cancel my pending order,cancel_order
22,How can I cancel my pending order?,cancel_order
23,Kindly cancel my order,cancel_order
24,I want to cancel my placed order,cancel_order
25,Cancellation,cancel_order
26,I want to place cancellation,cancel_order
27,How can i cancel my order?,cancel_order
28,cancel,cancel_order
29,Cancel my order,cancel_order
30,Cancelling,cancel_order
31,I want to cancel a product,cancel_order
32,I want to cancel my order,cancel_order
33,Chat with agent,chat_with_agent
34,I need customer support,chat_with_agent
35,I want to chat with an agent,chat_with_agent
36,I need to talk to someone,chat_with_agent
37,You guys are fraud,chat_with_agent
38,I want to speak with a human,chat_with_agent
39,I want to raise a complaint,chat_with_agent
40,Your delivery service is always slow I am done with CureKart,chat_with_agent
41,"hello, is ther anyone available to assist",chat_with_agent
42,contact support,chat_with_agent
43,Customer care number not available,chat_with_agent
44,call center unavailable,chat_with_agent
45,call center not reachable,chat_with_agent
46,Call centre not picking up,chat_with_agent
47,No one is answering,chat_with_agent
48,pathetic service,chat_with_agent
49,I want to complain,chat_with_agent
50,How to complaint,chat_with_agent
51,You are useless,chat_with_agent
52,Poor service,chat_with_agent
53,poor customer support,chat_with_agent
54,Waste of my time,chat_with_agent
55,Bad Service,chat_with_agent
56,Can i talk to a human,chat_with_agent
57,Could I chat with a human please,chat_with_agent
58,Live agent,chat_with_agent
59,live person to talk,chat_with_agent
60,I want to speak with a live agent,chat_with_agent
61,real person available,chat_with_agent
62,human to answer,chat_with_agent
63,connect me to supervisor,chat_with_agent
64,Give immediate resolution,chat_with_agent
65,I need urgent assistance,chat_with_agent
66,need an immediate fix to my problem,chat_with_agent
67,This is urgent,chat_with_agent
68,This is extremely urgent,chat_with_agent
69,This is an emergency,chat_with_agent
70,Talk,chat_with_agent
71,Talk to agent,chat_with_agent
72,I want to talk to your executive,chat_with_agent
73,Tell me weight gaining,consult_start
74,Consult Start,consult_start
75,suggest me beginner diet,consult_start
76,can you make my ideal diet plan ?,consult_start
77,Get Diet & Fitness Advice,consult_start
78,Diet plan for runner,consult_start
79,Advice a diet chart,consult_start
80,Recommend me workout schedule diet and protein,consult_start
81,Hi i am looking for diet chart,consult_start
82,Hii I am looking for lean muscle body advice me diet chart,consult_start
83,Can u provide fitness advice ?,consult_start
84,Diet,consult_start
85,Muscle diet,consult_start
86,Bodybuilding diet,consult_start
87,Weight Loss diet,consult_start
88,Workout plan,consult_start
89,Diet plan,consult_start
90,Diet and Fitness Advice for Bulk Muscle Gain,consult_start
91,Diet and Fitness Advice for Lean Muscle Gain,consult_start
92,Diet and Fitness Advice for Weight Gain,consult_start
93,Diet and Fitness Advice for Maintain Weight,consult_start
94,Diet and Fitness Advice for Weight Loss,consult_start
95,I want a diet chart prepared for me,consult_start
96,Can you tell me what diet is perfect for me,consult_start
97,Generate Diet Analysis,consult_start
98,Generate Advice,consult_start
99,Is there a delay in delivery becuase of the pandemic?,delay_in_parcel
100,How long is parcel delayed because of COVID?,delay_in_parcel
101,Why is my delivery late,delay_in_parcel
102,Why is my parcel delayed,delay_in_parcel
103,why is parcel taking so long,delay_in_parcel
104,My order is very late,delay_in_parcel
105,Delivery is showing very late,delay_in_parcel
106,My Order is Delayed,delay_in_parcel
107,Delay Order,delay_in_parcel
108,Why there is a delay,delay_in_parcel
109,Product delayed,delay_in_parcel
110,order delayed,delay_in_parcel
111,why my order is delayed,delay_in_parcel
112,Why my parcel is delay,delay_in_parcel
113,Why it's getting delayed,delay_in_parcel
114,I am not received my order yet,delay_in_parcel
115,Delay during Covid-19,delay_in_parcel
116,my order was delayed,delay_in_parcel
117,it's been delayed,delay_in_parcel
118,why my order keep getting delayed,delay_in_parcel
119,i have not received my order till today.,delay_in_parcel
120,I have still not received my order,delay_in_parcel
121,My order was supposed to arrive long ago. Can you please tell me when will it come?,delay_in_parcel
122,What if I receive expired product,expiry_date
123,I have received an Expired product,expiry_date
124,Expiry Date,expiry_date
125,Product Expiry,expiry_date
126,Where can we find expiry information regarding product,expiry_date
127,Where can i check the expiry information of the product?,expiry_date
128,How do i find out the expiry date of a product,expiry_date
129,How to find the expiry date of a product,expiry_date
130,Get Franchise,franchise
131,would like to associated as seller,franchise
132,i want to enroll my self as a seller,franchise
133,I would like to get dealership,franchise
134,i want to become the seller partner,franchise
135,I wanted to be a seller,franchise
136,Become a seller,franchise
137,SELLER,franchise
138,I want to became a seller,franchise
139,How do i become a seller on curekart?,franchise
140,i want to become a seller,franchise
141,can i become a seller,franchise
142,Track my order,order_status
143,What is my shipment status,order_status
144,What is the progress of my orders,order_status
145,Can you tell me about my previous orders,order_status
146,What is my current order status,order_status
147,Can you tell me my current order status,order_status
148,What is my order shipment progress?,order_status
