sentence,label
does applebees in trenton do reservations,accept_reservations
is it possible to make reservations with famous dave's restaurant,accept_reservations
does redrobin take reservations,accept_reservations
can i make reservations at applebee's or no,accept_reservations
do they take reservations at state bird,accept_reservations
do they accept reservations at michael's,accept_reservations
does gramercy tavern accept reservations,accept_reservations
does tartine in san francisco take reservations,accept_reservations
does black rock take reservations,accept_reservations
can i make a reservation at michael's,accept_reservations
i think my account is block but i am not sure why,account_blocked
why is there a block on my account,account_blocked
i'm confused about the reason for my bank account being frozen,account_blocked
why am i seeing a hold on my charles schwab account,account_blocked
how come a hold was placed on my 401k account,account_blocked
can you tell me why there's a hold on my mutualone account,account_blocked
why is there a hold on my edward jones account,account_blocked
what is the reason i am locked out of my bank account,account_blocked
can you find out why is my bank account frozen,account_blocked
find out the reason why am i locked out of my bank account,account_blocked
set alarm for 5pm,alarm
please create an alarm for 12 noon,alarm
would you set my alarm for 10:00 and another for 3:00,alarm
can you alert me at 6 in the morning,alarm
can you make an alarm for 7 am,alarm
have an alarm set for three in the morning,alarm
set my alarm for 5pm,alarm
tomorrow i need the alarm to go off at 5,alarm
set an alarm for me for 10:00 and another one set for 4:00,alarm
tomorrow i would like an alarm for 9 tomorrow,alarm
please find out the current status of my credit card application,application_status
has my application for a new credit card been processed,application_status
could you check and see if my credit card application has been processed and approved or not,application_status
has there been any changes in the status of my credit card application,application_status
do you know if my amex card app went through,application_status
do you know what the latest is with my credit card application,application_status
please check the status of my mastercard application,application_status
in what status is my credit card application,application_status
can you update me on the status of my american express card application,application_status
check on my credit card application,application_status
"what is the apr on my amex card, please",apr
"hey siri, tell me the apr on my disney visa",apr
how good is card apr,apr
can you look into whether my card has good apr or not,apr
do i have a good apr on my credit card,apr
what is the apr on my amex card,apr
how much is my amex's apr,apr
how much do i pay in apr on my amex card,apr
how much is the apr these days on my nordstrom credit card,apr
what's the apr like for my credit card,apr
do you identify as a human or computer,are_you_a_bot
are you really an actual human being,are_you_a_bot
do you consider yourself a bot,are_you_a_bot
so are you human,are_you_a_bot
do you think you are a bot,are_you_a_bot
am i talking to an actual person,are_you_a_bot
are you real or are you an ai,are_you_a_bot
are you a real person or a bot,are_you_a_bot
are you a bot or a real person,are_you_a_bot
are you a real person or artificial intelligence,are_you_a_bot
is there enough money in my bank of hawaii for vacation,balance
what's the balance of my savings,balance
check my visa account and see if i have enough money for dinner tonight,balance
what's my current checking balance,balance
i wanna know the balance of my bank of american account,balance
is there enough money in my discover account for airplane tickets,balance
how much money do i have in my account,balance
what is in my bank accounts,balance
what's my checking balance,balance
what is my checking account balance at chase,balance
how much on bills to i have to pay,bill_balance
how much is the bill for my water and electricity,bill_balance
tell me how much my verizon and comcast bill come to together,bill_balance
what do i owe on the car this month,bill_balance
how much is my comcast bill,bill_balance
remind me of the invoice total for my plumbing bill,bill_balance
can you tell me the total cost of my bills please,bill_balance
how much do i owe for my gas and phone bills,bill_balance
how much is my electric bill for this month,bill_balance
my dte bill is how much,bill_balance
when's the gas bill due,bill_due
on what day do i pay my car payment,bill_due
when do i owe the state payment for my car tags,bill_due
how many more days before my verizon bill is due,bill_due
i would like to know when the bill is due,bill_due
when is the bill due,bill_due
what date do i have to pay my bill,bill_due
when do i need to pay my annual payment for auto insurance,bill_due
what is the latest date that i can pay my direct tv bill this month,bill_due
what day is the bill due,bill_due
please get me a flight booked from miami to dallas on american airlines,book_flight
schedule flight from madison to atlanta on delta,book_flight
get me a flight for tuesday on spiritcom to las vegas from chicago,book_flight
"search for a flight from nyc to la on march 1, returning on march 5",book_flight
help me find a roundtrip flight for may 7th through the 20th from pittsburgh to chicago,book_flight
book a flight from seattle to dallas-fort worth on april the 1st and returning on april 5th,book_flight
i need to take a flight from florida to alabama on january 25th and i need to get back by the 30th,book_flight
"book a flight from miami, fl to columbus, ga on 16 february 2019 and returning on 2 march 2019",book_flight
use delta to book me a flight from dallas to pittsburgh,book_flight
find me a flight out of la to chicago on march 3rd for under $500,book_flight
help me find a good reviews hotel in la,book_hotel
"is it possible to have a room booked in omaha near the convention hall for may 01, 2019 to may 05, 2019",book_hotel
hotel room for 5 in austin for 3/1 until 3/8,book_hotel
i need a hotel room for 4 people in lakewood from monday to wednesday,book_hotel
"please book a hotel in ny, close to brooklyn, on the 25th to 30th",book_hotel
can you find me a hotel for 2 people on april 1st to 4th in rome,book_hotel
"i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020",book_hotel
help me a great hotel in vegas for this weekend,book_hotel
find me a hotel in kansas city with good reviews,book_hotel
see if you can get me a room in colorado springs near garden of the gods from march 01 to march 02,book_hotel
what is the square root of 5,calculator
what is the square root of 31,calculator
what is the area of a 20 x 20 room,calculator
what does 2 + 2 equal,calculator
what is the square root of 1 million,calculator
please add 456 and 781 for me,calculator
what is an 18 percent tip on 20 dollars,calculator
what is 2 + 2,calculator
what is 606 divided by 5,calculator
560 divided by 3,calculator
what do i have on my calendar for february 8,calendar
anything on the schedule for october 14th,calendar
is there an event titled anniversary dinner on my calendar,calendar
what have i got planned for the date of april 23,calendar
is my daughter's birthday on my calendar,calendar
what do i have scheduled on march 2nd on my calendar,calendar
"can you tell me what's on my calendar for march 05, 2019",calendar
what is on march 2 calendar,calendar
what is showing on my calendar for the 17th of march,calendar
"what do i have on my calendar today, the 3rd",calendar
add jake's birthday party for friday at 5,calendar_update
keep april 2nd wide open on my calendar please,calendar_update
delete the hair appointment i had scheduled on may 1st pleae,calendar_update
please add lunch and catch up with lisa on friday to my calendar,calendar_update
"i want the events on my calendar for march 20th, 2019 to be cleared",calendar_update
march 3rd needs to be cleared on my calendar,calendar_update
i need a clear calendar for april 15,calendar_update
make sure to add to my calendar the staff meeting for march 1 at 10 am,calendar_update
