sentence,label
I'm supposed to have a refund but it isn't there,Refund_not_showing_up
"As advised by you, i requested seller to refund my money. A week has passed but i haven't got any update from seller. Please track the refund with the seller.",Refund_not_showing_up
My refund is not here yet,Refund_not_showing_up
why cant you just refund me instead of a merchant,Refund_not_showing_up
I've been waiting for a refund to show up and I don't see it on my statement yet.,Refund_not_showing_up
"I have received my statement but I do not see my refund, why is that?",Refund_not_showing_up
A refund for a recent return has not arrived on my card.,Refund_not_showing_up
I've been checking my statement to see if I've received a refund I requested from a seller a while ago has arrived. But it has not. This should have come back to me already. Can you help me figure out why it's not here and get my money back?,Refund_not_showing_up
Where is my refund? it appears to be missing.,Refund_not_showing_up
When will I be able to see the refund,Refund_not_showing_up
What do I need to do for the card activation?,activate_my_card
How do I activate my card to start using it?,activate_my_card
I have a new card and need to activate it,activate_my_card
Can someone assist me with activating my new card?,activate_my_card
How do I turn on my new card?,activate_my_card
I have a new card and I need to activate it.,activate_my_card
It won't let me activate my card.,activate_my_card
Tell me how to renew my new card?,activate_my_card
My card is not able to be activated how do I get it to work?,activate_my_card
When are you going to activate my card?,activate_my_card
What are age requirements for opening an account?,age_limit
Would I be able to get an account for my child?,age_limit
How old can one use your service?,age_limit
Can I open up an account for my child?,age_limit
"My son has just turned 13, is he old enough for an account?",age_limit
What is your age limit?,age_limit
My daughter needs an acount.,age_limit
Is there an age limit for opening an account?,age_limit
As my kids get older are they able to get set up with their own accounts?,age_limit
What would the age limit be?,age_limit
Why isn't my google pay top up working?,apple_pay_or_google_pay
Can you show me how to top up with Google play?,apple_pay_or_google_pay
How can I top up with Google play?,apple_pay_or_google_pay
"I want to top up from my Apple Watch, can I?",apple_pay_or_google_pay
Is there a way to top up using my Apple Watch?,apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working correctly?",apple_pay_or_google_pay
Google Pay Top up isn't working,apple_pay_or_google_pay
Am I able to top up with Apple Pay?,apple_pay_or_google_pay
Can I pay for my gas using my Apple watch?,apple_pay_or_google_pay
Google Pay won't let me top up.,apple_pay_or_google_pay
"
Where can I withdraw money from?",atm_support
What is the closest ATM?,atm_support
Which ATMs accept this bill of fare ?,atm_support
Can this card be used at all ATMs?,atm_support
Tell me what ATMs take this card.,atm_support
What locations allow me to withdraw money?,atm_support
Tell me what ATMs use this card.,atm_support
What locations can I get money from?,atm_support
Can I use my card to withdraw from my account?,atm_support
What ATMs use this card?,atm_support
auto-top up option can be found where?,automatic_top_up
Is auto top up available?,automatic_top_up
Can I automatically top-up when traveling?,automatic_top_up
"I heard you have an auto-top up option, where do I find that?",automatic_top_up
Is there a auto top-up option?,automatic_top_up
Where do I access the auto top-up function?,automatic_top_up
Is there a limit to auto top?,automatic_top_up
How do I get refills to my card when I'm traveling?,automatic_top_up
How low does the balance have to be before the system updates?,automatic_top_up
What is the maximum times I can auto top-up?,automatic_top_up
I completed a transfer that isn't showing up on my account.,balance_not_updated_after_bank_transfer
MY transfer has still not appeared.,balance_not_updated_after_bank_transfer
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,balance_not_updated_after_bank_transfer
I added money through a bank transfer and it is not showing in my balance.,balance_not_updated_after_bank_transfer
"I made a bank transfer from my UK account today, but it's not showing.  Can you check status?",balance_not_updated_after_bank_transfer
My balance was not updated after transferring money.,balance_not_updated_after_bank_transfer
what amount of time does it take for a transfer to reflect and be available,balance_not_updated_after_bank_transfer
"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please.",balance_not_updated_after_bank_transfer
I've transferred money into my account but the balance is the same,balance_not_updated_after_bank_transfer
