,sentence,label,Unnamed: 2
0,I want to know about offers and referral programs,offers_and_referrals,
1,What are offers and referral programs available,offers_and_referrals,
2,Show me some offers and referrals program,offers_and_referrals,
3,Offers and Referrals,offers_and_referrals,
4,Do you have any referral offer,offers_and_referrals,
5,What are active offers for me,offers_and_referrals,
6,What are new offer this week for me,offers_and_referrals,
7,How I can refer and Earn,offers_and_referrals,
8,Open offers,offers_and_referrals,
9,Show me new offers,offers_and_referrals,
10,Back to offers,offers_and_referrals,
11,What are new offer this week for me,offers_and_referrals,
12,Offers and referral program are active on the PowerPlay11,offers_and_referrals,
13,What are the referral offers,offers_and_referrals,
14,Referral offers,offers_and_referrals,
15,My friend was asking for referral code do I will get referral bonus,offers_and_referrals,
16,Any promotions available,offers_and_referrals,
17,Referral,offers_and_referrals,
18,How do I Refer and earn,offers_and_referrals,
19,Refer and Earn Program,offers_and_referrals,
20,What is the refer and earn program,offers_and_referrals,
21,Show my referrals,offers_and_referrals,
22,Do you have any referral offer for me,offers_and_referrals,
23,What are active offers for me,offers_and_referrals,
24,Return on Referrals,offers_and_referrals,
25,Check Deposit Status,check_deposit_status,
26,My deposit statement,check_deposit_status,
27,What are my deposit status,check_deposit_status,
28,Track deposit status,check_deposit_status,
29,Show my deposit status,check_deposit_status,
30,Deposit Status,check_deposit_status,
31,Recent deposit status,check_deposit_status,
32,Show my deposit statement,check_deposit_status,
33," I was bored, let me check my deposit transaction",check_deposit_status,
34,Transaction,check_deposit_status,
35,Transaction status,check_deposit_status,
36,Show my deposit status,check_deposit_status,
37,Show my transaction,check_deposit_status,
38,Show me the status of deposit,check_deposit_status,
39,My status was not updated can you show me the deposit status now,check_deposit_status,
40,I don't remember some time ago once I signed up this app I have deposited some money but i didn't palyed it show how much money I have deposited,check_deposit_status,
41,Deposit,check_deposit_status,
42,How to join a Contest?,join_contest,
43,How can I join a Contest on PowerPlay11?,join_contest,
44,Contest join,join_contest,
45,Joining contest,join_contest,
46,Join contest,join_contest,
47,Contest joining,join_contest,
48,What are the ways to join contest,join_contest,
49,Join a contest,join_contest,
50,Withdrawal Time,withdrawal_time,
51,How much time it takes to withdraw my amount,withdrawal_time,
52,I didn't get my withdrawal amount yet,withdrawal_time,
53,Withdrawal approved but not received money,withdrawal_time,
54,My withdrawal not received,withdrawal_time,
55,Min time to withdraw,withdrawal_time,
56,Withdrawal amount duration,withdrawal_time,
57,When can I expect my withdrawal amount,withdrawal_time,
58,Withdrawal amount not received,withdrawal_time,
59,Where is my withdraw,withdrawal_intro,Earlier was WITHDRAWAL_INTRO
60,Withdrawals,withdrawal_intro,
61,Minimum withdrawal limit,withdrawal_intro,
62,What is the steps to withdraw amount,withdrawal_intro,
63,Withdrawal steps,withdrawal_intro,
64,Limit of withdrawal,withdrawal_intro,
65,What are the steps to withdraw amount,withdrawal_intro,
66,What are the steps to withdraw money,withdrawal_intro,
67,Maximum withdrawal limit,withdrawal_intro,
68,Withdrawal limit,withdrawal_intro,
69,How to withdraw amount,withdrawal_intro,
70,How to withdraw money,withdrawal_intro,
71,Minimum amount I can withdraw,withdrawal_intro,
72,How much winning can I withdraw,withdrawal_intro,
73,Details for Bank Account Verification,bank_verification_details,
74,What details I need to provide for bank account,bank_verification_details,
75,Wrong amount refund,refund_of_wrong_amount,
76,Amount added by mistake,refund_of_wrong_amount,
77,I added amount by mistake,refund_of_wrong_amount,
78,Wrong amount added refund please,refund_of_wrong_amount,
79,I added wrong amount and want refund,refund_of_wrong_amount,
80,Refund of Wrong Amount,refund_of_wrong_amount,
81,Refund of Added Cash,refund_of_added_cash,
82,Please refund money,refund_of_added_cash,
83,Not refunded,refund_of_added_cash,
84,Refund my cash,refund_of_added_cash,
85,How I can get refund of my cash,refund_of_added_cash,
86,Can I get the refund of my added cash,refund_of_added_cash,
87,I want my cash back,refund_of_added_cash,
88,Is my addded cash is refundable,refund_of_added_cash,
89,Chat With an Agent,chat_with_an_agent,
90,Nope,chat_with_an_agent,
91,"No, I couldn't find",chat_with_an_agent,
92,No,chat_with_an_agent,
93,Couldn't,chat_with_an_agent,
94,Talk with an agent,chat_with_an_agent,
95,Need to chat with an agent,chat_with_an_agent,
96,Need to connect with an agent,chat_with_an_agent,
97,Agent,chat_with_an_agent,
98,Connect to agent,chat_with_an_agent,
99,Talk to an agent,chat_with_an_agent,
100,Need to talk to an agent,chat_with_an_agent,
101,Connect with agent,chat_with_an_agent,
102,Agent to chat,chat_with_an_agent,
103,Didn't,chat_with_an_agent,
104,Can I talk to you,chat_with_an_agent,
105,My referral amount is incorrect,chat_with_an_agent,
106,I can't see my withdrawal,chat_with_an_agent,
107,My transaction is incorrect,chat_with_an_agent,
108,My transaction is wrong,chat_with_an_agent,
109,My deposit is incorrect,chat_with_an_agent,
110,My deposit is wrong,chat_with_an_agent,
111,I can't see my deposit,chat_with_an_agent,
112,I can't see my transaction,chat_with_an_agent,
113,My balance is wrong,chat_with_an_agent,
114,My bonus is wrong,chat_with_an_agent,
115,My winnings are wrong,less_winnings_amount,May conflict with LESS_WINNINGS_AMOUNT
116,My deposit is not visible,chat_with_an_agent,
117,My deposit is not there,chat_with_an_agent,
118,My sign up bonus is incorrect,chat_with_an_agent,
119,My bonus is incorrect,chat_with_an_agent,
120,My balance is incorrect,chat_with_an_agent,
121,My winnings are incorrect,less_winnings_amount,May conflict with LESS_WINNINGS_AMOUNT
122,I am still waiting for my deposit money to get reflected in my wallet,chat_with_an_agent,
123,It seems the wallet still not updated,chat_with_an_agent,
124,My wallet showing wrong balance,chat_with_an_agent,
125,I referred to one of my friend he got all necessary step done but then also it not showing in the referral,chat_with_an_agent,
126,I am facing issue connect to agent,chat_with_an_agent,
